Old_names,Old_logfoldchanges,Old_pvals,Old_pvals_adj,Young_names,Young_logfoldchanges,Young_pvals,Young_pvals_adj
Mrpl51,,5.1199147406072463e-08,2.4379797978910656e-06,Ctnnal1,,0.0009529496782072124,0.01044774521149308
Acyp2,,6.972840239455498e-08,3.2004309671215294e-06,Dok4,,0.0009673950179865811,0.010558676502767417
Trim54,,7.03211709689452e-08,3.2004309671215294e-06,Ggta1,,0.0010425078065210201,0.01124070400750213
Malsu1,,7.765935998816638e-08,3.4937785631457843e-06,Tie1,,0.0010744775392880852,0.011553585408718587
H2-Q6,,8.259961313800673e-08,3.662457254337997e-06,Col6a3,,0.0010848605402721662,0.011601486761271198
Grina,,8.32801981696683e-08,3.662457254337997e-06,Sema6d,,0.001334500427115923,0.013818081142147415
Sdhc,,8.53625259354336e-08,3.7123214056809675e-06,Pkp4,,0.0017478961421696882,0.017541706411415794
Atp5k,,9.011601489412586e-08,3.87597892632537e-06,Dgke,,0.0018736372141694327,0.01856561026901053
Ifi205,,1.0799901230797475e-07,4.594653632319708e-06,Ushbp1,,0.0021365740704888513,0.02058451490344156
Efemp1,,1.3057344074487084e-07,5.495316635219618e-06,Ier5l,,0.0021879022124733937,0.020863775892218914
Timm8b,,1.414373325005146e-07,5.868750335526287e-06,Efr3b,,0.002241598605024996,0.021243624552222357
Pgam2,,1.424453964933565e-07,5.868750335526287e-06,Mmp15,,0.0023240895964506715,0.02197219004953606
Myoz1,,1.4832452424787778e-07,6.047314457356183e-06,Fut8,,0.002578635907582103,0.024087782678463843
Ctsd,,1.7672007574481763e-07,7.057983433318533e-06,Mest,,0.0026277117530911307,0.02442960522945056
Cyc1,,1.867252878670288e-07,7.382250269813644e-06,Pcp4l1,,0.002735719010812479,0.025253783510188782
Dbi,,2.0184318291571863e-07,7.900142179321228e-06,Rasip1,,0.0029107271086802494,0.026618191363024523
Ube2b,,2.6849113990434155e-07,1.0302689427309733e-05,Arhgef15,,0.002975650855173908,0.02708534290035041
Ldb3,,2.789657000911064e-07,1.0600696603462044e-05,Hbegf,,0.0029949959808556787,0.027198176958397043
C3,,2.876368946750025e-07,1.0825103901518845e-05,Sox7,,0.003104907903204528,0.028001404454245444
Apobec2,,3.02563831279e-07,1.1278427005961963e-05,Fxr1,,0.003356467987590185,0.029993643158511378
Bod1,,3.056681693031106e-07,1.1286652968418632e-05,Itga1,,0.0034023135820633664,0.030249552977655424
Atp2a1,,3.311305788977734e-07,1.2000417461165602e-05,Samd5,,0.0035799592704380393,0.03127669773324662
Dnajc15,,3.480157955600559e-07,1.2496640585523476e-05,Tal1,,0.0036463931708972134,0.031715517490870426
Mrpl12,,4.2204445719972344e-07,1.4881819869186644e-05,Abi3bp,,0.003722215355055725,0.03230321707247917
Arpc5l,,4.287162814051825e-07,1.4982102905534683e-05,Ndrg1,,0.0037335303271051846,0.03232972942541967
Tuba4a,,4.415092152767733e-07,1.528760789153585e-05,Zfp62,,0.0038962153174013216,0.03366398841569265
Ndufv2,,4.4527013276318014e-07,1.528760789153585e-05,Hspa12a,,0.003924176856908798,0.03375654553393634
Coq9,,5.79157642038433e-07,1.954157768050368e-05,Nrarp,,0.0041761963507893985,0.03545690350756986
Egln2,,5.880243869059083e-07,1.9671174789313887e-05,Gm20721,,0.004430639853804511,0.03713388519869562
Pfkm,,8.150159569121198e-07,2.703366487588167e-05,Smc4,,0.004493913054389586,0.037344322069810705
Sh3bgr,,9.355596810581762e-07,3.0514838263847512e-05,Slc9a3r2,,0.004687460354621048,0.03887016912709064
Actn3,,1.026816457433702e-06,3.321454226773149e-05,Robo4,,0.004772036944087855,0.03945009715225787
Fitm1,,1.0983955287434135e-06,3.5238689340178035e-05,Gata2,,0.004777553921862604,0.03945009715225787
Mrps7,,1.2178083341996736e-06,3.8752047317540834e-05,Dnmt3a,,0.005080086686972882,0.04159719517324657
Smyd2,,1.292461568335685e-06,4.0074653786141974e-05,Dnajb1,,0.005308690777255725,0.043019080128734795
Tmem38a,,1.2962443760021068e-06,4.0074653786141974e-05,Plagl1,,0.005634856415323401,0.04538030454645225
Etfb,,1.3003272945426751e-06,4.0074653786141974e-05,Clic5,,0.005662172094648203,0.04550665621858946
Ndufb2,,1.3167830124836722e-06,4.026475555360228e-05,C1qtnf9,,0.0060602964053507085,0.04830957256729669
Fhl1,,1.359218613558682e-06,4.124016785634637e-05,Cyyr1,,0.0062451766179339495,0.049581381911954325
Eci1,,1.4171286949820863e-06,4.26664747089222e-05,Zc3h18,,0.006360702667657878,0.050204910947797915
Mrpl30,,1.4358787472012063e-06,4.290098791256123e-05,Zfp366,,0.006778873729876844,0.053171366290056046
Abra,,1.4606835428372165e-06,4.3311480202006555e-05,Emcn,,0.007024970889447635,0.05466349117554283
Mustn1,,1.4779804080365505e-06,4.335835002265773e-05,Col6a6,,0.0071044476541605355,0.0547841232850556
Pdlim7,,1.5558520700638027e-06,4.510818520170166e-05,Shroom4,,0.007110458515280594,0.0547841232850556
Sdhb,,1.6438145213191255e-06,4.730801497384601e-05,Wnt5a,,0.007265827222269141,0.055871213650218896
Fam213b,,1.8053512551744702e-06,5.1577699363159674e-05,Ctla2a,,0.007725191837448186,0.05905547041361757
Klhdc2,,1.8558240145376332e-06,5.2635472412320986e-05,Dll4,,0.008058378369767034,0.06114470156467968
Cycs,,2.0295615128377386e-06,5.7148947922639636e-05,Cd55,,0.00807659956794568,0.06114470156467968
Cisd1,,2.0781305797126267e-06,5.8098593492823014e-05,Cracr2b,,0.008424802175603516,0.06329112421365098
Asb2,,2.0950628908795424e-06,5.815656847448602e-05,Pde4b,,0.0085077951955172,0.06374319178098208
Pdlim3,,2.1756698630460543e-06,5.99688158025511e-05,Pcnt,,0.008548452684328295,0.06374319178098208
Lsm6,,2.2034348988871634e-06,6.006554409645431e-05,F11r,,0.00855012153424006,0.06374319178098208
Msrb1,,2.209871831857287e-06,6.006554409645431e-05,Gimap4,,0.008680628766038017,0.06455017143392912
Coq8a,,2.559521838648203e-06,6.861622244156896e-05,Gm37494,,0.008938309859110139,0.06611902141570335
Gbp4,,2.742250237069699e-06,7.281400287810797e-05,Klhl4,,0.009958235398470612,0.07138559221541022
Tmem126a,,2.7533143653449104e-06,7.281400287810797e-05,Prrg1,,0.010154832293283332,0.07252922189034847
Mybpc2,,3.2259827161262156e-06,8.361918113190734e-05,Enah,,0.010299243280839306,0.07320360306509363
Cox14,,3.3880932634466253e-06,8.72434015337506e-05,Nr4a3,,0.01030696342651155,0.07320360306509363
