Old_names,Old_logfoldchanges,Old_pvals,Old_pvals_adj,Young_names,Young_logfoldchanges,Young_pvals,Young_pvals_adj
Wdr77,,0.22914492055042324,0.6693083724136989,Zfp605,,0.7036896174011318,0.9990291469049655
Klhdc1,,0.23107796682803328,0.6729458051822338,Plaur,,0.7041617547191991,0.9990291469049655
Thap4,,0.23186737693701442,0.6747426864918026,Elovl7,,0.7046586484064177,0.9990291469049655
Jph1,,0.2334193896233442,0.6785658310545583,Scn3a,-2.6384878,0.7046956124802641,0.9990291469049655
Ctss,,0.2335278933138707,0.6785658310545583,Cpsf4,,0.7047941867528595,0.9990291469049655
Apool,,0.2345343363177752,0.6804862219211065,Rcbtb1,,0.7057802018888611,0.9990291469049655
Pgam5,,0.23453651338057557,0.6804862219211065,Cdc14b,,0.7058254061062786,0.9990291469049655
Gm10605,,0.2358781193871905,0.6830690253059554,Prkcd,,0.7065241486470715,0.9990291469049655
Fahd1,,0.2363155816605208,0.6836209805020536,Gal3st1,-4.943298,0.7066968172920288,0.9990291469049655
Fgf13,,0.2368785625861577,0.6847434962793362,Dera,,0.7083420358454519,0.9990291469049655
Chac2,,0.23792378463755548,0.6859339774033018,Zfp536,,0.7089840406721986,0.9990291469049655
Ctsc,,0.23817239270736834,0.6859339774033018,Gpcpd1,,0.7090622477014353,0.9990291469049655
Hpse,,0.2383419032367119,0.6859339774033018,Ralgps2,,0.709539788679818,0.9990291469049655
Top1mt,,0.2385291241226455,0.685968399570929,Cstf2t,,0.709572726749341,0.9990291469049655
Ccl8,,0.23888402694635724,0.6864846413128064,Col14a1,,0.7100215620024218,0.9990291469049655
Pigu,,0.23929229436191846,0.6871533676687812,Penk,,0.7102769076926891,0.9990291469049655
Cd53,,0.2399775209015248,0.6886158481001232,Cpa3,-4.318883,0.7104087117458457,0.9990291469049655
Gm10273,,0.24204817312465832,0.6935406658930546,Sass6,,0.7117808110838559,0.9990291469049655
Fam136a,,0.2425984504166382,0.6946088770524667,Gm10687,-3.2885573,0.7131868416526383,0.9990291469049655
E2f6,,0.24408881531922388,0.6969393585115563,Spink10,,0.7147259329156306,0.9990291469049655
Timm23,,0.24446745282272575,0.6974093369884465,Arhgap19,,0.7147795951361744,0.9990291469049655
Ttc32,,0.2448734329140102,0.6980587155319999,Cd79a,-2.7535589,0.714952975022574,0.9990291469049655
Nbl1,,0.245160820310088,0.6983693236489698,Ehd4,,0.7149736164652094,0.9990291469049655
Mto1,,0.24601989865798557,0.699089239053873,Adgrg3,,0.7153410690102509,0.9990291469049655
Pirb,,0.2460289053935314,0.699089239053873,Entpd6,,0.7163942475049465,0.9990291469049655
Pdcd2,,0.24689688574930047,0.7003705070013764,Pkhd1l1,,0.7170842687666601,0.9990291469049655
Ndufaf1,,0.24711590959859497,0.7003705070013764,Exosc2,,0.7179481536750938,0.9990291469049655
Angptl7,,0.24856896219493718,0.7035405397496514,Col9a2,,0.718283057805124,0.9990291469049655
Myc,,0.24859391069845882,0.7035405397496514,Fam241a,,0.7186593726885213,0.9990291469049655
Prtn3,,0.2490614516616515,0.7037421706199155,Slc38a4,,0.7201942848457537,0.9990291469049655
Bckdhb,,0.2491318629491034,0.7037421706199155,Gm15337,-3.4161527,0.7202646448325596,0.9990291469049655
Lsm2,,0.24920456016331194,0.7037421706199155,Stab1,,0.7203225901300041,0.9990291469049655
Rnf8,,0.24969565422333317,0.7045938242816925,Setdb2,,0.7210636036166018,0.9990291469049655
Cog6,,0.24993917795827458,0.7045938242816925,Plxnb1,,0.7236405547161786,0.9990291469049655
Dusp8,,0.2500461987550513,0.7045938242816925,Ints3,,0.7256437925596314,0.9990291469049655
Commd2,,0.25052248736495364,0.7054280687384378,Fa2h,,0.7256603903826773,0.9990291469049655
Bckdha,,0.2508373215708324,0.7055196283113945,Mrgpre,-3.906004,0.7258969233582637,0.9990291469049655
Dapk2,,0.251916233000954,0.7055196283113945,Fut2,,0.7272087026476586,0.9990291469049655
Cox10,,0.251982627408498,0.7055196283113945,Cstad,,0.72737480777532,0.9990291469049655
Ank,,0.252846865134301,0.7068875929540387,Rtkn,,0.7286791774868956,0.9990291469049655
C1qa,,0.25525552981306565,0.7130873776138053,Gm13861,-5.5398946,0.7303959937910064,0.9990291469049655
Adprm,,0.25542884604357563,0.7130873776138053,Pappa,,0.7303959937910064,0.9990291469049655
Chmp4c,,0.2556762520999255,0.7132693162645107,Zfp971,-0.28516218,0.7311987472305695,0.9990291469049655
Acbd4,,0.25749642653035787,0.7170164232765207,Spata1,,0.7312361885200263,0.9990291469049655
Hhatl,,0.2579569441205313,0.7170763347214201,Arhgdib,,0.7321016765135178,0.9990291469049655
Tagap1,,0.25891235621617037,0.7192214068346989,Wipf3,,0.732555361711229,0.9990291469049655
Acsl6,,0.26119890713978144,0.724922416654289,C1ql3,,0.7326219655746838,0.9990291469049655
Akr1b10,,0.26208024658358187,0.7259604282577067,Erfe,,0.7342127297167031,0.9990291469049655
Rac2,,0.26254877754745465,0.7267439287982586,Mag,,0.7342793835329426,0.9990291469049655
Car14,,0.2635560691640074,0.7290165757653181,Aatk,,0.7344210295397468,0.9990291469049655
Pfkfb1,,0.2642038369430887,0.7302922442056844,Neto2,,0.7345043549417865,0.9990291469049655
Gnb5,,0.2649807095640804,0.7314065565823771,Slc38a3,,0.7354753259807021,0.9990291469049655
Foxred1,,0.2657235208051615,0.7329400003040184,Tfpi2,,0.7355003351173458,0.9990291469049655
Cobl,,0.2660348350790419,0.7332819327460353,Gm26737,,0.7366719099701632,0.9990291469049655
Gpn3,,0.2667725327326468,0.7345827054934864,Zfp322a,,0.7376229618065475,0.9990291469049655
Gm44386,,0.2668821173254312,0.7345827054934864,Col20a1,-2.6208496,0.7382864332406959,0.9990291469049655
Mpeg1,,0.26717767348622645,0.7348794195538232,Id4,,0.7394344067000594,0.9990291469049655
Yipf7,,0.268244973455538,0.7372969284445055,Adamts16,,0.7396557193315194,0.9990291469049655
Gmnn,,0.2686157492641732,0.7377979246455957,Mbp,,0.739910464328519,0.9990291469049655
Sdhaf3,,0.2691066705116856,0.7381103772829274,Kmt5a,,0.7400733490352785,0.9990291469049655
Camk2g,,0.26980939727771425,0.7392256593125488,Kcnk1,,0.7407250043604539,0.9990291469049655
Pdzrn3,,0.2698910238011324,0.7392256593125488,Rab20,,0.7411511873214848,0.9990291469049655
Klhl33,,0.2701624336454638,0.7394515841177239,Nts,,0.7425180146435277,0.9990291469049655
Timmdc1,,0.2717345118130725,0.7427156977907583,Dlgap1,,0.7429361670329111,0.9990291469049655
Dlat,,0.27193477965298274,0.7427444016481329,Coch,-2.880558,0.7435886361890827,0.9990291469049655
Lyrm9,,0.27259903960622467,0.7435173129489899,Fam180a,,0.7437183154707095,0.9990291469049655
Serinc2,,0.2729860285892134,0.7435402337496042,S100a5,-3.8037193,0.7439316746204444,0.9990291469049655
Gm16124,,0.2734678702172254,0.7443346620516136,Slc25a27,,0.7447392704245185,0.9990291469049655
Rbp4,,0.27395999586685515,0.7451559581812863,Zfp932,,0.7447936781698318,0.9990291469049655
Yae1d1,,0.27485366727789584,0.7470675373095029,Tec,,0.7461835991099552,0.9990291469049655
Rmdn1,,0.2751284816768631,0.7472955428752548,Tnc,,0.7463092351465028,0.9990291469049655
Amhr2,,0.27570547137761026,0.7483434223106564,Sfrp2,,0.7481736266431603,0.9990291469049655
Scn4b,,0.2766323244622556,0.7496525664271411,Map2k6,,0.7482155400505666,0.9990291469049655
Pdhb,,0.27712099402046186,0.7496525664271411,Ddx19b,,0.7482700285926382,0.9990291469049655
Ctu2,,0.2771454429279696,0.7496525664271411,Cdh1,,0.7486472914302202,0.9990291469049655
Fundc1,,0.27792123504602584,0.7506371837803603,Tbc1d2,-2.5255494,0.750266011299376,0.9990291469049655
Pithd1,,0.27827658499369,0.7506371837803603,Gm46404,,0.7506100263576571,0.9990291469049655
Fam46b,,0.2793149928934474,0.7523518010775838,Ttf1,,0.751885831487004,0.9990291469049655
D17H6S53E,,0.27978227367908637,0.7523518010775838,Six2,,0.7520033740214351,0.9990291469049655
C1qc,,0.2797871952483526,0.7523518010775838,Gm14325,,0.7521629052326806,0.9990291469049655
Cxcl10,,0.2798733322352994,0.7523518010775838,Crbn,,0.7528389311758229,0.9990291469049655
Cdc42ep3,,0.2806148542548875,0.7527217850121183,Arid3b,-1.2716836,0.7539940720888316,0.9990291469049655
Myoz2,,0.28085903488084774,0.7527217850121183,Rhot1,,0.7551917992165811,0.9990291469049655
Ky,,0.2812416275579317,0.7529148859463065,Cmtm5,,0.7561083529976879,0.9990291469049655
Dapp1,,0.2814293505721631,0.7529148859463065,Rimklb,,0.7575806018392107,0.9990291469049655
Echdc1,,0.28228505889103295,0.7546031966366505,2410080I02Rik,,0.7575890172229476,0.9990291469049655
Rbm48,,0.28244600998280356,0.7546031966366505,Mkx,,0.7586201187816701,0.9990291469049655
Gcdh,,0.28301602873391574,0.7556103250099224,Gm45606,,0.7600180515413608,0.9990291469049655
Cutc,,0.2840067353041529,0.7572223174253776,Adra2b,-1.9443537,0.7600559582471174,0.9990291469049655
Oxnad1,,0.28633250424209866,0.7618504437543132,Gm43573,-4.3601527,0.7607046733249443,0.9990291469049655
Cybb,,0.28711311580415333,0.7618504437543132,Mccc1,,0.7619225211425359,0.9990291469049655
2310047D07Rik,,0.2873210201684223,0.7618504437543132,Tsc1,,0.7619267361745503,0.9990291469049655
Spryd4,,0.28733605333629497,0.7618504437543132,Furin,,0.7632126499618272,0.9990291469049655
Snrnp40,,0.28764184287854333,0.7618504437543132,A330009N23Rik,,0.764136381602467,0.9990291469049655
Pnck,,0.28782241182155444,0.7618504437543132,Fastkd1,,0.7650899909516048,0.9990291469049655
B3galnt2,,0.2880783486858415,0.7618504437543132,Gm48529,,0.7657104502767813,0.9990291469049655
Tbl3,,0.28953911153110967,0.764164587007932,Scube2,,0.7659764074605914,0.9990291469049655
Nudt6,,0.290749694633631,0.7667492217833854,Zfp580,,0.7662086148570572,0.9990291469049655
Ccl27a,,0.2911843143450763,0.7667492217833854,Nbeal2,,0.7671418779575484,0.9990291469049655
Zdhhc4,,0.2913208547773888,0.7667492217833854,Gpd2,,0.7696223631350334,0.9990291469049655
Alox5ap,,0.29180414868960713,0.7670392464547496,Mmp3,,0.7700451689028428,0.9990291469049655
Cd48,,0.29332839318217374,0.7680618542663032,Ftsj3,,0.770184709814212,0.9990291469049655
Bcat2,,0.2934986476832294,0.7680618542663032,Gm12688,,0.7704680430333504,0.9990291469049655
Kat8,,0.29366134075074535,0.7680618542663032,Bdnf,-2.2355218,0.7710348013407247,0.9990291469049655
Gas7,,0.2937630546337905,0.7680618542663032,Ncmap,,0.7712759221773481,0.9990291469049655
Nit1,,0.29419814790525056,0.7681930903219732,Car12,-3.7187536,0.7719232504754586,0.9990291469049655
Csf1r,,0.2942057849751246,0.7681930903219732,B3galt2,,0.7719571020791169,0.9990291469049655
Ms4a6b,,0.29491406367315787,0.7693223090277755,Plxdc1,,0.7721094396666318,0.9990291469049655
Frat2,,0.29503137093783627,0.7693223090277755,Recql5,,0.7722914099644804,0.9990291469049655
Coa4,,0.29699194815177643,0.7703290159483452,Kcnq4,-2.8703115,0.7733834944245641,0.9990291469049655
Zfp367,,0.2980563799757616,0.7708111099623776,Igsf11,,0.7743743778265415,0.9990291469049655
Ctps,,0.2981668160304649,0.7708111099623776,Cyp11a1,-3.7177434,0.7746030954978144,0.9990291469049655
Fcgr1,,0.29826700259708916,0.7708111099623776,Tex15,,0.7753274970893127,0.9990291469049655
Unc119,,0.2984520214747711,0.7708111099623776,Gfod2,-1.4102635,0.7765861327410465,0.9990291469049655
Rnf123,,0.2986319743995631,0.7708111099623776,Fhl5,,0.7766073269250422,0.9990291469049655
Tmem252,,0.29877341679362523,0.7708111099623776,Slc45a3,,0.7794912789897583,0.9990291469049655
Hbb-bt,-2.0554626,0.29949933292064557,0.7708111099623776,Emid1,,0.779826524081011,0.9990291469049655
Dyrk1b,,0.29967197518879174,0.7708111099623776,Mlst8,,0.7817581613656543,0.9990291469049655
Itgb2,,0.2996771297093992,0.7708111099623776,Aif1l,,0.7820172307775906,0.9990291469049655
Adhfe1,,0.30041225353514933,0.7712220863723476,Gtf2e1,,0.7823825172562602,0.9990291469049655
Myo1g,,0.3005826639909046,0.7712220863723476,Bmpr1b,,0.783151474582422,0.9990291469049655
Egln3,,0.3006859744006649,0.7712220863723476,Aldh1l2,,0.7833851776560905,0.9990291469049655
Rpp14,,0.3017799299613775,0.7735210516495294,Tnfrsf23,,0.7835764038000376,0.9990291469049655
Ly86,,0.3030322922011929,0.7762227694211185,Gm29007,,0.7837208944459562,0.9990291469049655
Yrdc,,0.3034946953758715,0.7768987820151478,Gpr37l1,,0.7845369814580234,0.9990291469049655
Timm22,,0.305424680077098,0.7808178953767221,Gm11713,,0.784583743628551,0.9990291469049655
Blcap,,0.30570403999501616,0.781021940300583,Rrp36,,0.7846432602430384,0.9990291469049655
Ptprc,,0.3066975283611898,0.7830490058745577,Zc3hc1,,0.7846560139671457,0.9990291469049655
Aar2,,0.30699337257133064,0.7832615659272156,Carmn,,0.7857147743386722,0.9990291469049655
Cd14,,0.3072972675866106,0.7832615659272156,Sbspon,,0.7859401842148779,0.9990291469049655
Gpt,,0.3073811357343391,0.7832615659272156,Ccm2,,0.7860039827218799,0.9990291469049655
Macrod2,,0.30766954806152935,0.7834864093121834,Kcna1,,0.7864846443028785,0.9990291469049655
Ptpn6,,0.30877503477404167,0.784302702807079,Gpr155,,0.7869058217786159,0.9990291469049655
Ccl9,,0.30911166472235374,0.784302702807079,2810032G03Rik,-8.79218,0.7875398326460925,0.9990291469049655
Kcnc1,,0.3092405950523669,0.784302702807079,Ezr,,0.7876504798573067,0.9990291469049655
Ppm1l,,0.3094643339908574,0.784302702807079,Hist1h3e,,0.7887955041029621,0.9990291469049655
Mtfr1,,0.30964866987671524,0.784302702807079,Adamts15,,0.7889956110087952,0.9990291469049655
Cyb5d2,,0.3096618395007126,0.784302702807079,Gan,,0.7896471192069444,0.9990291469049655
Borcs7,,0.3115806410280486,0.7872993085757148,Cma1,-1.1429015,0.7903584104150889,0.9990291469049655
Tlr2,,0.3120939956583909,0.7880876767786723,Amph,,0.7905117655570383,0.9990291469049655
Ipo4,,0.3123429348604938,0.7881210408758178,Atg10,,0.7906054865818021,0.9990291469049655
Tomm40l,,0.3126185093607259,0.7881210408758178,Col13a1,,0.7921054339145216,0.9990291469049655
Ncf4,,0.3140040999173599,0.7903614450653033,Srms,-2.3732464,0.7926297450238384,0.9990291469049655
Mid1ip1,,0.3154363816493211,0.7924377392653676,Ppip5k1,,0.7929494929594431,0.9990291469049655
Podxl2,,0.31569774188884603,0.7925856072821958,AI504432,,0.7930049194768244,0.9990291469049655
Hsph1,,0.3167552985939569,0.7931859277860989,Vamp7,,0.7942160362127386,0.9990291469049655
Pcca,,0.3172046603593409,0.7931859277860989,2810021J22Rik,,0.7945487538583913,0.9990291469049655
Asb16,,0.3181555788435654,0.7931859277860989,Trub1,,0.7973057698600005,0.9990291469049655
Pmvk,,0.31826820529497646,0.7931859277860989,Kif21a,,0.8002704608695818,0.9990291469049655
Dtx3,,0.3185659866228684,0.7931859277860989,H2-Ob,-3.206715,0.8011382006698873,0.9990291469049655
Acer2,,0.3189982278267135,0.7937438421575058,Emd,,0.8014246514689298,0.9990291469049655
Gm48584,,0.3192265844769985,0.7938074025685972,Pcdhga8,,0.8020532265688529,0.9990291469049655
Gm2a,,0.32030533305764775,0.7959841737064338,Kcnj2,,0.8024680708074846,0.9990291469049655
Ip6k3,,0.3206016651758934,0.7962150491741413,Enpep,,0.8024680708074846,0.9990291469049655
Dnajb5,,0.3227215989933122,0.7984401633753628,Ubfd1,,0.8031781395447556,0.9990291469049655
Ubqln4,,0.3232523303760265,0.7992480234313125,Scnm1,,0.8034990070626276,0.9990291469049655
Nt5c3,,0.3246549978425356,0.8018307370220937,Fbxl19,,0.8039525562923137,0.9990291469049655
Dusp12,,0.32470662191620303,0.8018307370220937,C730034F03Rik,-1.1960707,0.8049497406612599,0.9990291469049655
Neu2,,0.3260507231556079,0.8046422007761976,Mtcl1,,0.8050653147649383,0.9990291469049655
Kctd15,,0.3263259739658485,0.8048140277897486,Gpr132,,0.8063454751766529,0.9990291469049655
Tpra1,,0.3268087082899056,0.8049901096580808,Lyve1,,0.8063583222312117,0.9990291469049655
Dnajb2,,0.3294020912798862,0.8088361237974885,Junos,,0.8069279274430348,0.9990291469049655
Ppm1j,,0.3294980930692343,0.8088361237974885,Prlr,,0.8077889536205526,0.9990291469049655
St3gal6,,0.3299152253845604,0.8088361237974885,Itgb8,,0.8084273771268938,0.9990291469049655
Tnfaip3,,0.33005526083526737,0.8088361237974885,Zbtb12,-0.96524745,0.808568790207499,0.9990291469049655
Gpt2,,0.33035742907984855,0.8088361237974885,2900093K20Rik,,0.8092545179655953,0.9990291469049655
Armt1,,0.3304948374553882,0.8088361237974885,2610044O15Rik8,,0.8092630904906671,0.9990291469049655
Cmah,,0.3306432800398522,0.8088361237974885,Rasgef1c,-2.3164694,0.8111581782423495,0.9990291469049655
Trem2,,0.3310696048401015,0.8093731626134649,Hps6,-3.2213345,0.8119002228257295,0.9990291469049655
Mtfp1,,0.33152107091499405,0.8096937449302285,Gm11266,,0.8122820341744853,0.9990291469049655
Nkd1,,0.3317772619786531,0.8096937449302285,Pfas,-1.8613251,0.8129127641084994,0.9990291469049655
Glt28d2,,0.3327342867710491,0.8099228675218064,Cd8b1,-1.274576,0.8130672470995362,0.9990291469049655
Cd300c2,,0.33277845766462233,0.8099228675218064,Gm10791,,0.813140199929648,0.9990291469049655
Ppil3,,0.3347035556008511,0.8126735214775007,Sfxn5,0.9609966,0.8147198105477005,0.9990291469049655
Mrm3,,0.33502787444476834,0.8129566649577329,2310057M21Rik,-2.0345562,0.8150933614719312,0.9990291469049655
Dock2,,0.3353191021308549,0.8130255681558737,Pyroxd1,,0.8162958792833132,0.9990291469049655
Hck,,0.3354717150157731,0.8130255681558737,Hist2h2be,-3.8981266,0.8168758194306757,0.9990291469049655
Tmem170b,,0.3357770749448964,0.8131504858443016,Thbs4,,0.8169531523671199,0.9990291469049655
Zfp524,,0.3361465217414614,0.8131504858443016,Gm48882,,0.8170648586434331,0.9990291469049655
Mlip,,0.3371617605007047,0.8144667286350692,Ing4,,0.8174257812284513,0.9990291469049655
Csf2rb,,0.3377495500949317,0.8150134026335157,Car11,-1.4115695,0.8174859387583249,0.9990291469049655
Slc35c2,,0.33920373466736853,0.8174153212885843,Spata5,2.747128,0.818302468530371,0.9990291469049655
Fxyd5,,0.3393714606780658,0.8174153212885843,Tmem229a,,0.8183712379439647,0.9990291469049655
Larp1b,,0.33992813267095967,0.8182525899594933,Pdik1l,,0.8187451960765469,0.9990291469049655
Vps37c,,0.3406282984436415,0.8194340258810159,Trim59,,0.8192223749329878,0.9990291469049655
Apol10b,,0.3411133536124209,0.8200968464613116,Akr1c19,-2.9599862,0.8192782651284133,0.9990291469049655
D830039M14Rik,,0.3416072737328276,0.820780153094099,Pex5l,,0.819291162996216,0.9990291469049655
Lrrc25,,0.3425121070590177,0.8224493171957026,Nsmaf,,0.8194201443627291,0.9990291469049655
Tmem115,,0.34353962335243515,0.8242186193618006,Gpr68,-1.6794375,0.8197125202098866,0.9990291469049655
2010320M18Rik,,0.34375663828073466,0.8242186193618006,Slc6a9,-0.6693392,0.8198372175351868,0.9990291469049655
Lilr4b,,0.3438806861057283,0.8242186193618006,Gm26719,-1.549892,0.8223192073177448,0.9990291469049655
Fcer1g,,0.3443997411692292,0.8248516404169082,Nav2,,0.8223493290850739,0.9990291469049655
Kansl2,,0.3449927515514899,0.8253677442374886,Acsbg1,-2.5549235,0.8227237214584623,0.9990291469049655
Ms4a6c,,0.34645262673272914,0.8267207405102737,Cpe,,0.8230594179051849,0.9990291469049655
Sac3d1,,0.34726063708181976,0.8267207405102737,AC146911.1,,0.8230680259324783,0.9990291469049655
Hrct1,,0.34732873475254,0.8267207405102737,Ksr1,,0.8230852420509379,0.9990291469049655
Nmb,,0.34734292283659063,0.8267207405102737,Racgap1,,0.8234511046869352,0.9990291469049655
Poll,,0.3474592790340828,0.8267207405102737,Sema4a,,0.8240753118311808,0.9990291469049655
Ms4a6d,,0.3484507293399739,0.827570482182438,Gm7467,-1.4225702,0.8241011434929023,0.9990291469049655
Gm9803,,0.34882618726109504,0.827959791958718,B430010I23Rik,,0.8249881459354099,0.9990291469049655
Sncg,,0.34984291712752713,0.829660280248407,Txk,-1.5061529,0.8255480198576965,0.9990291469049655
Dph5,,0.35007956886849745,0.829660280248407,Mppe1,-4.1959033,0.8257892236780234,0.9990291469049655
Lsg1,,0.35034770670568194,0.829660280248407,Amot,,0.8269653273783482,0.9990291469049655
BC049352,,0.3507073297735749,0.8299083970579033,Eid2b,,0.8282194038081139,0.9990291469049655
Arrdc2,,0.35289291065451633,0.8321092684103358,Timm44,,0.8282969899635007,0.9990291469049655
Nudt22,,0.352912975360541,0.8321092684103358,Ahsa2,,0.8288228958029012,0.9990291469049655
Bloc1s2,,0.35380514978254196,0.8337106298909508,Casp7,,0.8296032744516013,0.9990291469049655
Mif4gd,,0.3544285072795803,0.8344650138079892,Sh3gl3,,0.8310912015886949,0.9990291469049655
Pmpca,,0.3554411419876836,0.8353349704689763,Gin1,-1.3576201,0.8310955153038816,0.9990291469049655
Zfp691,,0.35587897979972405,0.8353349704689763,Pcna-ps2,-2.3635318,0.8323596525108701,0.9990291469049655
Pstk,,0.3559942567822604,0.8353349704689763,Gm47123,,0.8329034081976089,0.9990291469049655
Nup37,,0.35622776477705687,0.8353349704689763,Tmem117,-5.092592,0.8343969890491709,0.9990291469049655
Fam120aos,,0.3573129670898568,0.835937210513867,Hist1h2ae,-1.6680627,0.8346819597924723,0.9990291469049655
Pld4,,0.35916490141750135,0.8391719431392819,Gatb,-2.254039,0.8360034708842807,0.9990291469049655
Hist3h2a,,0.3592663527426111,0.8391719431392819,Gm26720,,0.8361157775358548,0.9990291469049655
1600014C10Rik,,0.35988124272923405,0.839937497938117,Pdzph1,-2.380281,0.8364440776649483,0.9990291469049655
Sctr,,0.36025281684574173,0.840008051429948,Hmox1,,0.8365175171212702,0.9990291469049655
Fndc10,,0.36048807796855054,0.840008051429948,Pcdhb19,-2.8798301,0.8367292035244351,0.9990291469049655
Haghl,,0.36131661482543853,0.8407807553072333,Dusp10,,0.8369409017505484,0.9990291469049655
Esf1,,0.3618638115326607,0.840974313559227,Slc18a2,-2.2896395,0.8375112495577647,0.9990291469049655
Ankrd33b,,0.36193079144724283,0.840974313559227,Lyrm7,-2.827773,0.8390585309969558,0.9990291469049655
Det1,,0.3629451745617732,0.8415683727694196,Sptb,,0.8393179129594736,0.9990291469049655
Aldh1a3,,0.3635873684869847,0.8425582950018106,Fxyd2,,0.8418564495920778,0.9990291469049655
Gpr65,,0.36461928206444927,0.8439862540964591,Fam110a,,0.8419905579572295,0.9990291469049655
Cxcl1,,0.3646660976652203,0.8439862540964591,Rcor2,-2.648987,0.8439075087138364,0.9990291469049655
Dhx32,,0.3648504706007176,0.8439862540964591,Adamts10,,0.8441195986597876,0.9990291469049655
Myl2,,0.36678549587014797,0.8464232002128633,Cenpe,-1.7591791,0.8455179430613244,0.9990291469049655
D630033O11Rik,,0.36698522502841824,0.8464232002128633,Sepsecs,-0.09975177,0.8456694957584353,0.9990291469049655
Immp2l,,0.3678348300314722,0.8470617214209928,Gm21541,-2.612406,0.8458513665324139,0.9990291469049655
Zfp672,,0.3679113250934307,0.8470617214209928,Shd,-2.0295262,0.847250313163958,0.9990291469049655
Ttc7b,,0.36873279931541814,0.8479554503645985,Vezt,,0.8476315339674279,0.9990291469049655
Enho,,0.3698269200053672,0.8497445710379412,Gm13056,2.8583536,0.8480907790828419,0.9990291469049655
Cnp,,0.36994500486679915,0.8497445710379412,B130006D01Rik,,0.8483464190004335,0.9990291469049655
D1Ertd622e,,0.3706037572624157,0.8498602799016609,Ccnb1,-1.7160808,0.8486367413004048,0.9990291469049655
Cd59b,,0.37069539033599386,0.8498602799016609,Gcnt2,,0.8503574292717139,0.9990291469049655
Man2a2,,0.37326385604673706,0.8529039423512871,Efhd1,,0.8505611852774455,0.9990291469049655
Fam228b,,0.37328166919973294,0.8529039423512871,Hist1h1d,,0.851007749275827,0.9990291469049655
Glipr1,,0.37463700852946913,0.855501313526454,Insc,-0.005475219,0.8513806451493415,0.9990291469049655
Actc1,,0.37543498524611063,0.8563243194949167,Dnase1l3,-1.9765055,0.851749237680005,0.9990291469049655
Arrdc3,,0.3761922449081424,0.8566535898579181,Zc2hc1c,-2.0487785,0.8517709206028956,0.9990291469049655
Sox6,,0.37625787866099003,0.8566535898579181,Cep63,,0.8517882670218816,0.9990291469049655
Mrps9,,0.37645482231875804,0.8566535898579181,Dhh,,0.8521612323592082,0.9990291469049655
Adora2b,,0.37701616189661946,0.8574324565156122,Il34,,0.8527380926641551,0.9990291469049655
Sfrp4,,0.37744946235428556,0.8579193935276851,Dhtkd1,-4.0216055,0.8531892262961154,0.9990291469049655
Gstp2,,0.3792666774985245,0.85905794383197,Il2ra,,0.8553544656068913,0.9990291469049655
Phospho2,,0.3794136063602873,0.85905794383197,Rerg,0.50155073,0.8569389487888643,0.9990291469049655
Nckap1l,,0.37948258504053034,0.85905794383197,Btnl9,,0.8596273737134911,0.9990291469049655
Ptgs2,,0.38027789565623416,0.85905794383197,Knop1,,0.8598141910446401,0.9990291469049655
Xirp1,,0.38036799531341836,0.85905794383197,Trib1,,0.8601878492376446,0.9990291469049655
Cyth4,,0.38062935848361146,0.85905794383197,Slc25a42,-0.9582648,0.8605050487838997,0.9990291469049655
Nfam1,,0.380728525088346,0.85905794383197,Arnt2,-2.7893243,0.8606397567721497,0.9990291469049655
Fggy,,0.3808036618672631,0.85905794383197,Thg1l,-3.1381662,0.8606527932443295,0.9990291469049655
6030408B16Rik,,0.38102912683775825,0.8590714299786785,Tmc8,-2.009526,0.8606701752663022,0.9990291469049655
Snai3,,0.3815976619793503,0.8593632042503895,Ppp1r3d,-2.131048,0.8616045580487738,0.9990291469049655
Umad1,,0.3839041884846258,0.8633326635797751,Mettl8,,0.8616958337493235,0.9990291469049655
Sgsm3,,0.3842184130519539,0.8633326635797751,Tbxa2r,-1.6318967,0.8617523386800756,0.9990291469049655
H2-Ab1,,0.3846507286910219,0.8635368747630953,Icos,-1.1778916,0.8618870840618787,0.9990291469049655
Lactb,,0.38520743242010624,0.8640125446947254,Taco1os,,0.8621218114201695,0.9990291469049655
Cd37,,0.3867257339088933,0.8664454207983948,Msmp,-0.823059,0.8625260926228177,0.9990291469049655
Speg,,0.3867348365188543,0.8664454207983948,Brap,,0.863234758309027,0.9990291469049655
Gemin2,,0.3872083523680431,0.866447945733879,Slc4a8,6.069479,0.8643349295861029,0.9990291469049655
Mipep,,0.38750903611925225,0.866447945733879,1110002L01Rik,-4.2282085,0.8650308259972302,0.9990291469049655
Gm42067,,0.387888890591642,0.8665508663103235,Gm11627,,0.8651004214045566,0.9990291469049655
Sox9,,0.38864927995746834,0.8669910290261003,1500002C15Rik,-1.832099,0.8662750012818158,0.9990291469049655
Ablim2,,0.38896586906782493,0.8669910290261003,Nrxn1,-3.4694457,0.8663707208401715,0.9990291469049655
Popdc2,,0.3889719588579029,0.8669910290261003,Ndnf,,0.8668145371058167,0.9990291469049655
Tpd52,,0.38969096148130455,0.8676054739691844,Tom1l1,-3.7176313,0.8670234063574471,0.9990291469049655
Plin4,,0.3932643652345327,0.8737370493658542,Zfp870,0.16879508,0.8683986933668644,0.9990291469049655
Slc2a1,,0.3936415028386875,0.8739153954115841,Dtx1,-1.9359934,0.8692998095825955,0.9990291469049655
