0_names,0_logfoldchanges,0_pvals,0_pvals_adj,1_names,1_logfoldchanges,1_pvals,1_pvals_adj,2_names,2_logfoldchanges,2_pvals,2_pvals_adj,3_names,3_logfoldchanges,3_pvals,3_pvals_adj,4_names,4_logfoldchanges,4_pvals,4_pvals_adj,5_names,5_logfoldchanges,5_pvals,5_pvals_adj,6_names,6_logfoldchanges,6_pvals,6_pvals_adj,7_names,7_logfoldchanges,7_pvals,7_pvals_adj,8_names,8_logfoldchanges,8_pvals,8_pvals_adj,9_names,9_logfoldchanges,9_pvals,9_pvals_adj,10_names,10_logfoldchanges,10_pvals,10_pvals_adj,11_names,11_logfoldchanges,11_pvals,11_pvals_adj,12_names,12_logfoldchanges,12_pvals,12_pvals_adj,13_names,13_logfoldchanges,13_pvals,13_pvals_adj,14_names,14_logfoldchanges,14_pvals,14_pvals_adj,15_names,15_logfoldchanges,15_pvals,15_pvals_adj,16_names,16_logfoldchanges,16_pvals,16_pvals_adj,17_names,17_logfoldchanges,17_pvals,17_pvals_adj
Selplg,,3.7847014857146206e-05,0.00012469125938625443,Cd48,,0.004909303480077888,0.01431819211700809,Nmrk2,,0.01909616431759486,0.0651066090061553,Arhgap45,,0.022780656762990046,0.0766668018661591,Fam84b,,1.245189999431566e-06,3.754756284880701e-06,Lcorl,,8.704780873145971e-10,4.579369937835125e-09,Zfp68,,0.02856756195595933,0.07601185417785508,Rnf126,,5.860799937665046e-05,0.0003439156065370463,Hcn1,4.998985,0.7157384132638996,0.8853982773435219,Emd,,0.13563303670448912,0.4124846197835046,Macrod2,,0.139596061112525,0.5387609927918495,Pik3r6,,0.06041610631000595,0.25591844166381306,Hacd1,,0.21175946436605897,0.7782408859424927,Pacsin3,,0.3566761522315067,0.891972999034463,Mybpc1,,0.11408647839346711,0.3403463997195353,Twf2,,0.25252672928128916,0.9994566113593073,Slc20a1,,0.04080603925377983,0.15860460540148388,Prkcq,7.3234982,0.6094070874925952,0.9978952160707925
Heyl,,3.7451625102371705e-05,0.0001234925532019232,Gpt2,,0.004776908676645442,0.013952851164470342,Tigar,,0.019043330805635583,0.06500613600149134,Tspan8,,0.022584428422249708,0.07607181828286175,Ap4m1,,1.2440253000970975e-06,3.7541364877255507e-06,Rnpep,,8.57265843160711e-10,4.515933391831794e-09,Cenpv,,0.02853803323783672,0.07598494019924688,Hist1h1e,,5.6709478098460014e-05,0.00033327462053659536,Smtnl2,,0.7154248077380553,0.8852901351523075,Isca1,,0.1353967502631364,0.4120862212518786,Cd24a,,0.13958619778625753,0.5387609927918495,Bccip,,0.06015876708505662,0.2551044576066215,Vcam1,,0.21128279943071415,0.7772188693344128,Fzd1,,0.3566545560073078,0.891972999034463,Zfp30,,0.11327435839475902,0.33818141781623706,Sod2,,0.25248059498566755,0.9994566113593073,Cnp,,0.040774522586855565,0.15860460540148388,Cdh23,,0.6091412090279795,0.9978952160707925
Cdh19,,3.542467367165302e-05,0.00011720386538533384,Bik,,0.004703458867698356,0.013758847539739435,Ikzf1,,0.01894392947162395,0.06481340904889524,Mical3,,0.022566323804594463,0.07607181828286175,Eif4e3,,1.229645578286778e-06,3.7136055504741118e-06,Spaar,,8.382448488047822e-10,4.421685091943285e-09,Abi3,,0.02853213065001993,0.07598494019924688,Jsrp1,,5.5826821684426246e-05,0.0003285807219140516,Fam213b,,0.7131827254392411,0.8830035968866949,Zfp46,,0.1353778610936886,0.4120862212518786,Trappc2,,0.13912814523680997,0.5380904747597571,Gid8,,0.060106304362941766,0.2551044576066215,Coq8a,,0.2099853799756477,0.7731728854418487,Idh3a,,0.35539261109746656,0.8899594880585311,Rab3a,,0.11325989775245326,0.33818141781623706,Eif2b5,,0.2517662644927391,0.9994566113593073,Coq10a,,0.040557619386280004,0.15795275848547258,Nkd1,6.595882,0.60733460577912,0.9978952160707925
Adam23,,3.524480980271744e-05,0.00011670743279850765,Chst15,,0.004673397853266869,0.013691376644974945,3222401L13Rik,,0.018886015429967564,0.06467179736911027,Lrrc39,,0.022116220828741828,0.0747520624556956,Atg5,,1.0681385254396055e-06,3.230830130270955e-06,Ednrb,,8.381297885802772e-10,4.421685091943285e-09,Ggct,,0.028298841291915077,0.07545072535187712,Adcy6,,5.57277224097414e-05,0.00032849142396344555,Sept3,4.6143665,0.7130743002226931,0.8830035968866949,Rrad,,0.13480271881972636,0.4109173220096643,Adcy6,,0.13891674916602145,0.5378043088385835,Tusc2,,0.06005112143300243,0.2551044576066215,Impdh1,,0.20906861989864067,0.7705222017733329,Slc35c2,,0.35532797200565536,0.8899594880585311,Macrod1,,0.11225126209087768,0.3358955961954857,Daglb,,0.2515821501635199,0.9994566113593073,Ednrb,,0.04042919876724648,0.15760944619024175,Cd48,,0.60733460577912,0.9978952160707925
Gpd1,,3.4984925430412555e-05,0.00011594496031721823,Tdrp,,0.004589129451015338,0.013471313053557836,Oas2,,0.01848000018287777,0.06339239326536686,Oas2,,0.02187053206761068,0.07404953504552612,Brf1,,1.0336058420206576e-06,3.1287960291329112e-06,1110065P20Rik,,8.369225858530205e-10,4.421685091943285e-09,Myh11,,0.02793266686943502,0.074525192997252,Abhd11,,5.3367048976239574e-05,0.0003150507235188562,Wdr41,,0.7129658808029766,0.8830035968866949,Lst1,,0.13284180894352807,0.4065229399569733,F830016B08Rik,,0.1386908784801079,0.5374614835357845,Slc4a4,,0.059696200031784864,0.2539683988308761,Stac3,,0.20876867493932239,0.7705222017733329,Mybph,,0.3546389500018209,0.8892100258213497,Rbp4,,0.1114494645917047,0.33400704778861573,Pfkl,,0.2513981297703942,0.9994566113593073,Osr2,,0.04008635787341202,0.15642871856085208,Bcdin3d,6.8888597,0.6070956758488382,0.9978952160707925
Ppp1r1a,,3.408756686388307e-05,0.00011306672602138843,Gm11713,,0.004587768833225053,0.013471313053557836,Mrpl51,,0.018405701825854742,0.06319290960210129,Cobl,,0.021652370484177293,0.07337435331174885,Aif1l,,8.906445437907691e-07,2.7023122049589694e-06,Nudcd2,,8.24094231326282e-10,4.364688526943258e-09,Cetn2,,0.0279239754591564,0.074525192997252,Clip4,,5.3221513065294755e-05,0.0003146661663709421,Nrn1,,0.7128695128535288,0.8830035968866949,AC130815.2,,0.13265112237953353,0.4065229399569733,Rasd1,,0.13860747615890393,0.5374614835357845,Rpia,,0.059671503145637926,0.2539683988308761,Klhl6,,0.20741532178508637,0.7665944943029538,Angptl7,,0.3545313665736829,0.8892100258213497,Cog7,,0.11051029871609962,0.331954957156419,Acads,,0.25073184311312857,0.9994566113593073,Zfp467,,0.039616674762467795,0.1549047602600389,Rhobtb2,6.9198017,0.6069629551391149,0.9978952160707925
Gm12224,,3.3953403533817965e-05,0.00011271723615891732,Cavin4,,0.004586861957684666,0.013471313053557836,Ndufc1,,0.017603942993572697,0.06059967711243935,9530026P05Rik,,0.02162465687223366,0.07334394020617205,Cdk2,,8.856385519897203e-07,2.6892081400215404e-06,Fam126b,,8.227372468725458e-10,4.363405940730547e-09,Ptprr,,0.027868983983520425,0.07445679406928254,Coq9,,5.291899643579354e-05,0.00031335091081648403,Pilrb2,3.822245,0.7112319600726942,0.8820538313449066,Dusp2,,0.13221473865665764,0.40607262332185307,Id2,,0.1386025713434598,0.5374614835357845,Rps6ka2,,0.059602945151954585,0.2539683988308761,Ptprc,,0.20728108294957615,0.7665944943029538,Tmem38b,,0.35409049003069326,0.8892100258213497,Crlf1,,0.11032605046580372,0.3316560380362179,Ckmt2,,0.2500438792686196,0.9994566113593073,Mybpc2,,0.039414192457716386,0.15426714927950191,Rps6ka2,,0.6068833289347726,0.9978952160707925
Fopnl,,3.2649740538282976e-05,0.0001085735636931517,Jph1,,0.004555561352829433,0.013416453826165839,Cops5,,0.017431682145603738,0.06005951049110302,Hoxb3os,,0.021598511262639838,0.07334394020617205,Hip1r,,8.60367552820658e-07,2.616533490085513e-06,Plekhg5,,8.085087540947951e-10,4.293762908449156e-09,1500009L16Rik,,0.027863200842227664,0.07445679406928254,Ublcp1,,5.2818520161682236e-05,0.00031322983017094587,Fdft1,,0.7107265139912174,0.8817063631574089,Slc6a2,,0.13220546599385666,0.40607262332185307,Ndufaf3,,0.13838199300215145,0.5374614835357845,Sfrp1,,0.0596002041919653,0.2539683988308761,Mrpl12,,0.20649184390583308,0.7653690697873625,Ly86,,0.3521697473029657,0.8858562923803391,Fam57b,,0.10996299085088217,0.3310731893771945,Rps6ka2,,0.24928864316486077,0.9994566113593073,Mrpl41,,0.03922783165301857,0.1536914245144291,Ubac1,,0.6066975526089157,0.9978952160707925
Amy1,,3.200493112959665e-05,0.00010651981330037525,Klf5,,0.004410138358256782,0.01303722170258085,Tspan8,,0.017373941932167576,0.05991331164978317,Mlycd,,0.021540167621481022,0.07324779849737334,Plekha4,,8.440200224607942e-07,2.5688136608954496e-06,Nhp2,,7.842112390171951e-10,4.170384224882204e-09,Cdh11,,0.027766967370824222,0.07428565296610116,Plagl1,,5.162068000936209e-05,0.00030659080661099125,Asb12,3.3074715,0.7104136825171009,0.8815977024007398,H19,,0.13199696424470664,0.40607262332185307,Abtb1,,0.1380687475881675,0.5374614835357845,Fam160b1,,0.059444142240004404,0.2539683988308761,S1pr4,,0.20642493367675685,0.7653690697873625,Tceal5,,0.3521697473029657,0.8858562923803391,Camta2,,0.10969014128672895,0.3305342597232889,Rnf114,,0.24919720785624866,0.9994566113593073,Ccm2l,,0.03907259660919742,0.15323661636112096,Fam105a,7.637201,0.6062995460894764,0.9978952160707925
Fam210a,,3.1674354765901594e-05,0.0001055092974925437,Tagln,,0.0044035796610865435,0.01303722170258085,Mbp,,0.01729385301039224,0.05968971841505752,Tfrc,,0.021082852863294598,0.07175503139733484,B4galt5,,7.118946653403372e-07,2.170058972073271e-06,Art3,,7.701562553671424e-10,4.101213038785027e-09,Slc6a2,,0.02760594029079963,0.07390536956100531,Slc25a46,,5.149803438034151e-05,0.0003063272136240983,Mlxipl,3.148227,0.7104136825171009,0.8815977024007398,Evi2a,,0.13131763381380218,0.40438805566264496,Tyrobp,,0.13786347746142397,0.5374614835357845,Xirp2,,0.05892366756805718,0.2520516227993178,Dusp10,,0.205808614645971,0.7653690697873625,Fxyd2,,0.3521697473029657,0.8858562923803391,Fbln7,,0.10946473966483904,0.3303353824581187,Fam126b,,0.24917435269260457,0.9994566113593073,Ndufb7,,0.03903614663559606,0.15323661636112096,C1qb,,0.6062995460894764,0.9978952160707925
