0_names,0_logfoldchanges,0_pvals,0_pvals_adj,1_names,1_logfoldchanges,1_pvals,1_pvals_adj,2_names,2_logfoldchanges,2_pvals,2_pvals_adj,3_names,3_logfoldchanges,3_pvals,3_pvals_adj,4_names,4_logfoldchanges,4_pvals,4_pvals_adj,5_names,5_logfoldchanges,5_pvals,5_pvals_adj,6_names,6_logfoldchanges,6_pvals,6_pvals_adj,7_names,7_logfoldchanges,7_pvals,7_pvals_adj,8_names,8_logfoldchanges,8_pvals,8_pvals_adj,9_names,9_logfoldchanges,9_pvals,9_pvals_adj,10_names,10_logfoldchanges,10_pvals,10_pvals_adj,11_names,11_logfoldchanges,11_pvals,11_pvals_adj,12_names,12_logfoldchanges,12_pvals,12_pvals_adj,13_names,13_logfoldchanges,13_pvals,13_pvals_adj,14_names,14_logfoldchanges,14_pvals,14_pvals_adj,15_names,15_logfoldchanges,15_pvals,15_pvals_adj,16_names,16_logfoldchanges,16_pvals,16_pvals_adj,17_names,17_logfoldchanges,17_pvals,17_pvals_adj
Cdh5,,0.0,0.0,Fbn1,,0.0,0.0,Bgn,,0.0,0.0,Smoc2,,0.0,0.0,Slc25a4,,0.0,0.0,Pvalb,,1.1343095528962987e-252,4.439687590036113e-249,Laptm5,,5.067279192121515e-194,1.9833330757963606e-190,Aqp1,,2.0192134528838078e-21,9.408573160222885e-20,Rgs5,,1.2173268190300761e-124,4.764617169683717e-121,Kcna1,,3.988054828464327e-99,1.5609246598609372e-95,Chodl,,1.7815097697574276e-103,6.972829238830571e-100,Myl9,,2.987724346572992e-61,1.169395309248669e-57,Fmod,,4.267624862269357e-87,9.461479714649052e-84,Tm4sf1,,9.711968909268544e-78,3.801264631087708e-74,Coro1a,,2.1500798814918392e-61,8.415412656159057e-58,Apod,,4.119443337424908e-48,1.612350122268109e-44,Hdc,,1.935643879158422e-37,2.0380425121769446e-34,Plvap,,2.143004013169445e-25,8.387717707545207e-22
Gpihbp1,,0.0,0.0,Sema3c,,0.0,0.0,Gas1,,0.0,0.0,Col15a1,,0.0,0.0,Tpm2,,0.0,0.0,Atp2a1,,1.400150935562369e-230,2.7400953808955558e-227,Lyz2,,1.4748334962318173e-193,2.8862491521256663e-190,Egfl7,,5.319277493056818e-16,1.445809174154471e-14,Ndufa4l2,,1.948839471839866e-120,3.813878846390617e-117,Mbp,,3.644225667418726e-98,7.131749631138446e-95,Pax7,,5.51156411037516e-89,1.0786130964004186e-85,Gucy1a1,,2.094453262391567e-52,4.0988450345002964e-49,Thbs4,,4.834685597674529e-87,9.461479714649052e-84,Stmn2,,2.514837069612538e-69,4.921536145231736e-66,Rac2,,2.438837916692281e-59,4.772805802966793e-56,Cp,,8.006814786002054e-43,1.5669336536206018e-39,S100a8,,2.0682991892579606e-37,2.0380425121769446e-34,Vwf,,2.558082650044614e-24,5.006167746137309e-21
Kdr,,0.0,0.0,Fn1,,0.0,0.0,Mgp,,0.0,0.0,Lum,,0.0,0.0,Cox6a2,,0.0,0.0,Eno3,,1.5453875765521e-227,2.0162156582083064e-224,Ctss,,8.181330920351023e-190,1.0673909740751301e-186,Cdh5,,5.359793756383869e-13,1.059506705176084e-11,Gucy1a1,,4.2436451621368405e-120,5.5365423882011976e-117,Plp1,,1.133265663373511e-97,1.4785339354813072e-94,Sdc4,,9.825021585083352e-85,1.2818378161338747e-81,Notch3,,3.694654533500562e-51,4.8202926147070663e-48,Prelp,,7.649888565346172e-80,9.98055461492164e-77,Rbp7,,6.978895905019671e-65,9.105132857415664e-62,Cd52,,5.30962167162822e-58,6.927286407584284e-55,Gpc3,,1.300995808402624e-39,1.6973658646959567e-36,S100a9,,2.0793967001552833e-37,2.0380425121769446e-34,Fmo2,,1.673674465961135e-23,2.1835872865906274e-20
Egfl7,,0.0,0.0,Cd248,,0.0,0.0,Apod,,4.2555070050328166e-288,4.1640136044246106e-285,Col6a3,,0.0,0.0,Tcap,,0.0,0.0,Actn3,,1.5995201091260132e-218,1.5651304267798037e-215,Fcer1g,,7.962456493306214e-183,7.79126367870013e-180,Gpihbp1,,7.534478972937428e-13,1.4744975350038548e-11,Gucy1b1,,2.0447895650833553e-113,2.000826589434063e-110,Pmp22,,9.394951616371021e-97,9.192960156619043e-94,Ncam1,,3.1904037148859226e-84,3.121810035015875e-81,Gucy1b1,,9.180673467445371e-50,8.983288987895296e-47,Col12a1,,1.525631035279371e-74,1.4928299680208644e-71,Alpl,,5.413880488048283e-64,5.297482057555244e-61,Ptpn18,,8.730771397269059e-58,8.543059812227773e-55,Lum,,2.3035681915052545e-39,2.2540414753878915e-36,Mxd1,,2.082823211218135e-37,2.0380425121769446e-34,Actn1,,1.2585335563837883e-22,1.2314750849215367e-19
Tspan13,,0.0,0.0,Pcolce2,,0.0,0.0,Nbl1,,2.294291799215289e-279,1.7959716204257284e-276,Crispld2,,0.0,0.0,Des,,0.0,0.0,Slc25a4,,1.2173134381636015e-215,9.529129593944672e-213,Lcp1,,1.8949672124589752e-182,1.4833803339128858e-179,Pecam1,,2.0694205543467216e-10,2.9998933517455805e-09,Notch3,,9.552034930674494e-113,7.477332943731994e-110,Gpm6b,,1.0245425498582821e-94,8.020119080290633e-92,Peg3,,2.8018859627251535e-82,2.1933163316212503e-79,Mylk,,4.537433956332483e-43,3.5519033010170675e-40,Tnmd,,2.924399522913815e-73,2.2892199465369342e-70,Sema3g,,1.2104032910724506e-63,9.475036962515143e-61,Ptprc,,5.003141465090821e-56,3.9164591388730945e-53,Col15a1,,3.002328477028137e-34,2.3502227318176254e-31,Coro1a,,1.0005756819636289e-36,7.832506438411287e-34,Ehd4,,3.994533647162531e-22,3.1269209389988293e-19
Aqp1,,0.0,0.0,Fndc1,,0.0,0.0,Serpinf1,,7.434413499083296e-277,4.849715739235337e-274,Mme,,0.0,0.0,Pgam2,,0.0,0.0,Tcap,,7.2149560446194e-205,4.034191136948619e-202,Ctsc,,3.5939071656399614e-181,2.344425441052468e-178,Timp4,,1.5211277426675662e-09,2.0529979257933982e-08,Rgs4,,5.556148199578937e-112,3.6244606755253267e-109,Dbi,,3.8951793882748296e-93,2.5409553542846135e-90,Runx1,,7.849768995539965e-75,5.120665974757237e-72,Pdgfrb,,9.368120234324398e-43,6.111137099524283e-40,Serpinf1,,3.83707373039995e-73,2.5030510967975673e-70,Cldn5,,2.7730060891578784e-61,1.8089243054939894e-58,Laptm5,,1.5615014608213015e-54,1.0186194529424289e-51,Vwa1,,1.877875090061088e-31,1.225000517083183e-28,Grina,,1.26316782566333e-36,8.240064782743788e-34,Rasa4,,5.180983919258226e-20,3.379728509996116e-17
Timp4,,0.0,0.0,Pi16,,0.0,0.0,Fbln1,,9.632065970412544e-258,5.385700886884957e-255,Angptl1,,0.0,0.0,Chchd10,,0.0,0.0,Myoz1,,2.3452565749519997e-186,1.1474167792952656e-183,Alox5ap,,2.414634407233593e-180,1.3501255814160404e-177,Kdr,,6.647181509999474e-09,8.130333884418106e-08,Myl9,,1.921478079627792e-111,1.074380743380454e-108,Cnp,,8.374331257442812e-93,4.682447505947309e-90,Myf5,,1.0638164028816521e-74,5.948253429826838e-72,Rgs4,,2.6547652215791722e-42,1.380985357515669e-39,Thbs2,,5.410393374757e-72,3.0251828098284143e-69,Podxl,,8.515868134219672e-61,4.373505288822353e-58,Arhgdib,,3.418370026875936e-52,1.9113571835989163e-49,Crispld2,,4.0202267470705913e-29,2.247881069719185e-26,Slc7a11,,4.622023579139168e-36,2.5843714698215295e-33,Samd5,,8.550894649710139e-20,4.781171665566498e-17
Rgcc,,0.0,0.0,Ackr3,,0.0,0.0,Ntrk2,,2.2872158856948218e-251,1.1190203720761915e-248,Cxcl14,,0.0,0.0,Eno3,,0.0,0.0,Pgam2,,1.462316793941376e-179,6.359453257207273e-177,Tyrobp,,1.3546953719453638e-178,6.627847107242691e-176,Cldn5,,8.747357489916955e-09,1.0406430764600291e-07,Pdgfrb,,5.502325390955358e-105,2.6920126975249085e-102,S100b,,1.7050226390047516e-90,8.341823261330746e-88,Crlf1,,1.8869484258434538e-73,9.231895173439096e-71,Ndufa4l2,,2.8226578589998345e-42,1.380985357515669e-39,Cilp2,,4.748334506772897e-70,2.1195623466343865e-67,Tsc22d1,,8.93920345185969e-61,4.373505288822353e-58,Cd53,,1.679301843622019e-49,8.215984269920728e-47,Matn2,,5.110882842591313e-29,2.5004994307378e-26,Msrb1,,5.392660521712885e-36,2.6383591602480287e-33,Pecam1,,1.8132302422053467e-19,8.871228959989658e-17
Cd300lg,,0.0,0.0,Cd55,,0.0,0.0,Cfh,,1.7228989677432298e-249,7.492696177496667e-247,Dpep1,,7.677176093469479e-306,3.3387185810932825e-303,Cox8b,,0.0,0.0,Tpm2,,8.149719428904491e-175,3.189800184473218e-172,Cd53,,3.490214248101426e-176,1.5178553963409978e-173,Tspan13,,1.4818346971398652e-07,1.5222837282428957e-06,Vtn,,3.634150834852812e-103,1.5804518186237675e-100,Scd2,,8.357006782334679e-84,3.6343693940064367e-81,Cd82,,7.303093304841987e-72,3.176034132794615e-69,Rgs5,,4.5523531131821346e-42,1.9797677872216526e-39,Abi3bp,,4.873802023431139e-70,2.1195623466343865e-67,Mecom,,4.1938224452712694e-58,1.8238467834213054e-55,Cytip,,2.5053550904331818e-48,1.0895510915506081e-45,Smoc2,,2.6864907978653648e-27,1.168324998093893e-24,Ncf2,,8.695954779014541e-36,3.781774111673657e-33,Grrp1,,5.533591549197388e-19,2.4064974803953976e-16
Adgrl4,,0.0,0.0,Efemp1,,0.0,0.0,Fst,,1.0002133686418314e-247,3.914835124864128e-245,Hsd11b1,,5.4873401232555755e-294,2.1477449242422325e-291,Cox5a,,0.0,0.0,Cox6a2,,4.656586267653435e-172,1.6568980592359586e-169,Fcgr2b,,1.701374989199703e-174,6.597655621573762e-172,Podxl,,3.7515491587407665e-07,3.590113302521115e-06,Cox4i2,,3.228585201710043e-100,1.2636682479493108e-97,Art3,,2.8564864488573184e-83,1.1180287960827545e-80,Fgfr4,,1.4935787022449317e-71,5.845867040586663e-69,Myh11,,3.6429520125637194e-37,1.4258514177174398e-34,Prg4,,6.817013509060498e-70,2.668179087446279e-67,Pecam1,,2.8755018476948684e-57,1.1254714231877716e-54,Lcp1,,7.105999785226476e-47,2.781288315937643e-44,Cpe,,3.316271708890416e-26,1.2979887468597088e-23,Tyrobp,,1.2295632041088245e-35,4.812510380881939e-33,Entpd1,,1.0696397674877866e-18,4.186570049947197e-16
Cyyr1,,0.0,0.0,Mfap5,,0.0,0.0,Rbp1,,1.0288010019149317e-234,3.660661019540948e-232,Col5a3,,9.668745983027034e-292,3.4403156161425286e-289,Myoz1,,0.0,0.0,Myh4,,1.2441384100904019e-159,3.745813643918333e-157,Cd74,,1.854221048474997e-174,6.597655621573762e-172,Slc9a3r2,,2.0354803252966222e-05,0.0001354909862790983,Abcc9,,1.468491106600713e-99,5.225158355668356e-97,Plekhb1,,1.2215787462642728e-81,4.346599284434876e-79,Vcam1,,1.2363867107927873e-70,4.399288714584518e-68,Aspn,,6.016633041616295e-37,2.1408274295351073e-34,Cilp,,7.748133995736568e-70,2.7569269508466298e-67,Hey1,,3.5985532994027674e-55,1.280430692169312e-52,Stk17b,,9.403660014723384e-46,3.3459932088752117e-43,Ctsb,,6.784390477823403e-26,2.414009484563709e-23,Alox5ap,,1.8388722902466018e-35,6.237771818564461e-33,Pgm5,,1.2179982971703221e-18,4.3338593955678557e-16
Pecam1,,0.0,0.0,Gfpt2,,0.0,0.0,Myoc,,2.3304156378419138e-231,7.601039005427709e-229,Enpp2,,2.2383045369635063e-287,7.300603298062636e-285,Atp2a1,,0.0,0.0,Des,,4.2460554327779266e-158,1.1870757831352003e-155,Unc93b1,,1.3644993389612376e-173,4.45054201057857e-171,Cd300lg,,4.922545233391666e-05,0.0002946000312461006,Myo1b,,1.6947752046616454e-99,5.527791792538066e-97,Sox10,,4.59871611195579e-81,1.4999479051829134e-78,Flnc,,1.2170342274084388e-65,3.9695599717305245e-63,Abcc9,,2.149017466801938e-36,7.0093786375523205e-34,Fxyd6,,2.251899085326905e-66,7.344944183307921e-64,Efnb2,,1.871176913629322e-54,6.103155366620972e-52,Fam107b,,1.40665389826996e-44,4.5880361315238525e-42,Ecm1,,6.314627290469367e-25,2.0596209345747587e-22,Lcp1,,1.9124492034433709e-35,6.237771818564461e-33,Iigp1,,8.370695626581087e-18,2.5613845825307216e-15
Slc9a3r2,,0.0,0.0,Pcsk6,,0.0,0.0,Gpc3,,5.763956834877395e-217,1.7353943885930867e-214,Hmcn2,,3.745038121491463e-282,1.1275445544244297e-279,Atp5g1,,0.0,0.0,Mybpc2,,3.680992437894351e-142,8.004113556621383e-140,Ptprc,,3.8159304827499853e-171,1.1488886084218032e-168,Emcn,,0.00016995182342878742,0.0008892933648399385,Mylk,,1.2238732337820146e-98,3.684799874632927e-96,Pou3f1,,1.0146768464048063e-78,3.0549578283295476e-76,Notch3,,7.450820621525197e-65,2.243270147126894e-62,Vtn,,2.794762750189892e-35,8.414385695571722e-33,Fibin,,4.370245437466262e-65,1.3157800494033039e-62,Sox17,,3.977274505698248e-53,1.1974655704079186e-50,Dennd4a,,1.8969063802443373e-44,5.7111473632894894e-42,Sec11c,,7.675999301552062e-25,2.3110662512519057e-22,Cd52,,2.622917757702413e-35,7.897000079728651e-33,Emcn,,8.50740919082764e-18,2.5613845825307216e-15
Esam,,0.0,0.0,Dpp4,,0.0,0.0,Smoc2,,1.0614653280925008e-214,2.967553781538606e-212,F3,,1.6773755387225244e-270,4.6894627561142575e-268,Tpi1,,0.0,0.0,Chchd10,,4.761074782907094e-142,9.807814052788614e-140,Ccl6,,1.0397507730014e-170,2.9068460896624855e-168,Mmrn1,,0.00021003905134779995,0.0010718290051829062,Art3,,2.4051699705152515e-96,6.724168046140496e-94,Gjc3,,1.103164066648959e-78,3.084131540617161e-76,Meg3,,2.9841860837987346e-60,8.342931665705891e-58,Kcnj8,,6.410908791437032e-35,1.7923069292631817e-32,Cst3,,5.184430886937085e-65,1.4494187493908393e-62,H2-Q7,,1.6430852848070115e-52,4.593597003381888e-50,Srgn,,6.602063084861084e-42,1.845748208153306e-39,Osr2,,1.6346326997939874e-24,4.569965990709762e-22,Lilr4b,,3.94801851270678e-35,1.1037531756238812e-32,Cysltr1,,1.0228554128117635e-17,2.8596114898180304e-15
C1qtnf9,,0.0,0.0,Ugdh,,0.0,0.0,Col1a2,,1.5640615211711663e-212,4.081157862575963e-210,Abca8b,,8.275434564583439e-268,2.1593367257186385e-265,Atp5k,,2.0823499778641706e-301,5.433545208906909e-299,Car3,,3.3663928845157447e-135,6.5880308749973126e-133,Cybb,,2.6057941272090516e-170,6.799385475930818e-168,Ccl21a,,0.0004793103707331616,0.002228053196020896,Myh11,,2.0235825760203123e-93,5.280201468362334e-91,Aatk,,1.2261256483360163e-78,3.1993705250581115e-76,Asb5,,1.2444244144908225e-53,3.2471181055447197e-51,Cspg4,,3.696529055417281e-33,9.645476481935492e-31,Col1a2,,1.004638655017377e-64,2.621437130492009e-62,Slc9a3r2,,4.173057514541027e-51,1.0888898074609053e-48,Gmfg,,2.3494284005712235e-41,6.130441839890513e-39,Enpp2,,2.6900572692362978e-24,7.019256101193913e-22,Srgn,,6.396565864628772e-35,1.6690772529438008e-32,Spns2,,4.6952891511691806e-17,1.2251574491784115e-14
Tcf15,,0.0,0.0,Efhd1,,0.0,0.0,Cst3,,1.529446593687804e-206,3.74140872980879e-204,Scn7a,,2.4271480346806342e-242,5.937410879837501e-240,Usmg5,,1.2790366419083759e-299,3.128843385268364e-297,Cox8b,,1.2144431086097128e-122,2.2634906319516265e-120,Ucp2,,8.989134412118724e-170,2.1989670055645424e-167,Slc45a3,,0.0006415955698704956,0.0028930933876418433,Higd1b,,3.8770583754508524e-85,9.484254050946647e-83,Ldhb,,1.4356780450873188e-77,3.5120274177948533e-75,Cdh15,,5.855059753200692e-53,1.4322939921267192e-50,Acta2,,7.72410073510552e-33,1.8895081423251876e-30,Itgbl1,,2.7265585120143884e-63,6.669843760015197e-61,Sox18,,7.985238674322947e-51,1.9533890107062506e-48,Fxyd5,,8.243775423508859e-41,2.0166335629758546e-38,Abca6,,4.138208326558044e-24,1.0123092118842614e-21,Slpi,,7.106304636359423e-35,1.7383797716694235e-32,Chp2,,5.3184868322746993e-17,1.3010348413451981e-14
Cd93,,0.0,0.0,Adamts5,,0.0,0.0,Igfbp6,,2.7161886223342995e-200,6.25362486342144e-198,Itm2a,,5.625403866009957e-241,1.2951665136213514e-238,Ndufc1,,2.80402514596563e-297,6.4558555419467505e-295,Tpi1,,2.498459311119868e-116,4.444986247146893e-114,Pld4,,3.5202888930599976e-168,8.104947486727548e-166,Clic5,,0.0007807869300240422,0.003437570353334197,Tsc22d1,,4.39361438994235e-85,1.0115651013079034e-82,Cryab,,1.3208397360940644e-75,3.0410392512189225e-73,Dmd,,1.6415155188592713e-46,3.7793480828324635e-44,Art3,,2.0592022851396785e-31,4.741010437668648e-29,Lox,,4.2343058508613763e-63,9.748866529571428e-61,Id1,,1.1647151556674796e-50,2.6815853642838326e-48,Hcst,,2.814892542494756e-39,6.480876124308515e-37,Col1a2,,7.463365066562521e-24,1.7183300512073946e-21,Il1r2,,8.074732231676404e-35,1.8590883502812615e-32,Vcam1,,5.670956588673566e-17,1.3056543581216669e-14
Jam2,,0.0,0.0,Igfbp6,,0.0,0.0,Col1a1,,3.465074887630193e-188,7.53461283899143e-186,Plau,,8.583653971061967e-241,1.8664678690409186e-238,Mpc1,,1.0468291276272237e-296,2.2762717808516407e-294,Pygm,,6.267068792749214e-97,9.084928612896453e-95,Ly86,,2.639623815755157e-167,5.739715341592047e-165,Stmn2,,0.0008163305922449144,0.003573957425108048,Kcnj8,,4.4049197344783585e-84,9.578253244860164e-82,Gatm,,2.2704358010227227e-75,4.9369365140016314e-73,Prox1,,3.126142932977387e-46,6.79762413315194e-44,Mcam,,2.5454793623275916e-31,5.535003457861218e-29,Chad,,5.198473734512598e-60,1.1303792331601282e-57,Tinagl1,,3.0659640615374044e-50,6.666768520476334e-48,Samsn1,,7.487497191357632e-39,1.6281146670540983e-36,Tenm2,,1.6199807907456188e-23,3.5225582305435285e-21,Ptprc,,8.905493695202613e-35,1.8868849242810458e-32,Lrg1,,6.650750593335088e-17,1.4461687679063074e-14
Itga6,,0.0,0.0,Uap1,,0.0,0.0,Lum,,6.523822661921445e-188,1.3439074683558177e-185,Prelp,,7.275364244785743e-231,1.498725034425863e-228,Uqcrq,,2.040328943454791e-296,4.20307762351687e-294,Ankrd23,,1.111252622776966e-86,1.2792478722203073e-84,Mrc1,,1.203527173502252e-165,2.4792659774146395e-163,Lcn2,,0.0008798019387471157,0.003830416894612025,Nr2f2,,4.2668588082896336e-82,8.789729145076646e-80,Stmn1,,2.043324715396993e-74,4.2092489137178054e-72,Chrdl2,,9.00421010578536e-46,1.8548672817917844e-43,Dtx3,,3.454646946959404e-30,7.116572710736373e-28,Ptgis,,2.430469581260429e-59,5.006767337396484e-57,H2-Q6,,1.2018198309528829e-48,2.475748851762939e-46,Selplg,,1.8404509458949956e-38,3.791328948543691e-36,6030408B16Rik,,3.8884060238180445e-23,8.010116409065172e-21,Hp,,9.159635554762358e-35,1.8868849242810458e-32,Tm4sf1,,1.9976474063000256e-16,4.115153656978053e-14
Mgll,,0.0,0.0,C3,,0.0,0.0,Tgfbi,,2.126530780324364e-180,4.1616207370947804e-178,G0s2,,1.1439205523993979e-218,2.2386525210456215e-216,Car3,,4.848450308192831e-296,9.48841725313337e-294,Atp5g1,,4.996388649469547e-74,4.074138577921626e-72,Ctsh,,2.724665583077598e-165,5.3321705460828596e-163,Gm21541,,0.0009762736888378681,0.004199049690232325,Steap4,,5.0325316749151076e-82,9.848664487808866e-80,Mal,,1.66896394171506e-73,3.2661624339363722e-71,Pde4b,,3.887165155671022e-45,7.60718220964819e-43,Myo1b,,7.210223429209989e-30,1.4110407250963948e-27,Aebp1,,3.603710961562288e-59,7.052462351777397e-57,Icam2,,1.4988197092300353e-48,2.933190170963179e-46,Rgs2,,1.1551526942284967e-37,2.260633822605168e-35,Il33,,7.582120179150949e-23,1.4360078262067415e-20,Adam8,,1.2238740112434728e-34,2.3951214400034762e-32,Spint2,,2.4450289855257227e-16,4.5975398935404306e-14
Tspan7,,0.0,0.0,Pla1a,,0.0,0.0,Fgl2,,2.8765499019339567e-172,5.36134110293786e-170,Col3a1,,1.3948510266245962e-216,2.599736627718414e-214,2010107E04Rik,,5.251400652356086e-296,9.78761054920082e-294,Tuba4a,,1.6121724794285164e-67,1.1905741668836251e-65,Ccl9,,1.6410820346418392e-164,3.058664325518171e-162,Ctla2a,,0.0011522418215576301,0.004865021024354438,Itga1,,5.109435184878458e-81,9.523013958863945e-79,Mpz,,2.4887386558723023e-73,4.63853480908771e-71,Fxyd6,,5.5750106728834266e-45,1.0390757987459872e-42,Pacsin3,,2.471319902035366e-29,4.442344649802021e-27,Col1a1,,1.6540333386513873e-57,3.082803089276919e-55,St8sia6,,5.978987519700403e-48,1.1143693881955894e-45,Ucp2,,1.3474888626096162e-37,2.472388979540792e-35,Cpxm2,,7.704691964829221e-23,1.4360078262067415e-20,Mmp9,,1.3780012870884782e-34,2.568331922697287e-32,Ctla2a,,2.466743427806567e-16,4.5975398935404306e-14
Tcim,,0.0,0.0,Tmem100,,0.0,0.0,Gdf10,,3.249902754387908e-172,5.781872445761033e-170,Serpinf1,,2.1347794290393507e-212,3.797966675118191e-210,Vdac1,,3.852943767611777e-295,6.854737230196589e-293,Sh3bgr,,1.6852012678299658e-65,1.1372203038424975e-63,Fcgr3,,1.7250099002595104e-162,3.0689494316435106e-160,Wipf3,,0.0013672756576373934,0.005639111616430725,Gja4,,1.3985150248423103e-79,2.4880853669240014e-77,Secisbp2l,,8.106557979296448e-71,1.442230360498468e-68,Cebpb,,7.325485753788933e-42,1.3032705109240857e-39,Arhgef17,,2.4969745093419637e-29,4.442344649802021e-27,Tnc,,2.7240434408367655e-56,4.8463209215614094e-54,Igfbp3,,9.139034818998679e-48,1.6259173764345834e-45,Hmgb2,,1.389692323707139e-37,2.472388979540792e-35,Col1a1,,1.0426823625502853e-22,1.855026712282644e-20,Slc16a3,,1.614518649077817e-34,2.87237545113208e-32,Rnd1,,3.2632821727859755e-16,5.805675647401959e-14
Emcn,,0.0,0.0,Col14a1,,0.0,0.0,Col3a1,,1.1221131947315897e-171,1.9095439322519313e-169,Abi3bp,,6.433498841982998e-194,1.0948136725009328e-191,Eef1a2,,3.017316716508318e-294,5.134685925397199e-292,Adssl1,,7.995237374761363e-59,4.2867615184679425e-57,Spi1,,2.401319167466963e-162,4.0864187919416054e-160,Lyve1,,0.0015593929073574404,0.006292230762264971,Tinagl1,,5.737805259220782e-77,9.764247732430496e-75,Limch1,,5.197620966452536e-70,8.844994983780533e-68,Drp2,,3.154157506995836e-40,5.367553253209436e-38,Itga7,,1.0886216391419407e-28,1.8525500415658939e-26,Scx,,7.525852708114305e-56,1.2807038043286692e-53,Cyyr1,,2.224103207374851e-47,3.78484345811529e-45,Ikzf1,,1.771416619616876e-37,3.0144889779045443e-35,Cpxm1,,4.804329955848132e-22,8.175716281386778e-20,Cd53,,3.16294357338514e-34,5.382504846186712e-32,Tes,,6.288970550320329e-16,1.0702187275632073e-13
Clic5,,0.0,0.0,Ecm1,,0.0,0.0,Penk,,4.698323542810584e-168,7.66218264440026e-166,Col1a2,,1.1580435285991888e-187,1.8885759878905103e-185,Pvalb,,7.249709732860516e-286,1.1823068289340025e-283,Tcea3,,1.2661182943490347e-55,6.295600622975158e-54,Csf1r,,2.9453929743127946e-162,4.803445042275116e-160,Gpm6a,,0.0018915464574430626,0.007374016767362696,Sncg,,7.727469466987362e-77,1.2602214789078556e-74,Gas2l3,,2.674208661230349e-69,4.361188625023161e-67,Ank3,,5.770432986987293e-39,9.41061446294511e-37,S1pr3,,7.987053412170661e-28,1.3025552939681653e-25,Cpxm2,,2.5077868029538795e-55,4.089782311150618e-53,Cd93,,2.840726886942208e-45,4.6327520981215846e-43,Cd37,,3.118753730676725e-36,5.086167542445292e-34,Rasgrp2,,2.195119418403912e-21,3.5798739181803797e-19,Stk17b,,4.861331697809601e-34,7.928021777177824e-32,Fabp5,,6.947696939589736e-16,1.1330535758980927e-13
Gimap6,,0.0,0.0,Nov,,0.0,0.0,Igf1,,8.377992291613579e-168,1.311658473175022e-165,Inmt,,1.4955017629076552e-183,2.3413575600082251e-181,Actn3,,4.905806777559285e-285,7.680531090946817e-283,Ak1,,1.2707011988120528e-55,6.295600622975158e-54,Cd68,,7.392898565051214e-158,1.1574321993444181e-155,Reln,,0.0020187632324316944,0.007777007176907138,Mcam,,9.527902150143493e-77,1.4916883606264653e-74,Kcna2,,3.6375322538374586e-68,5.694920496607926e-66,Trib1,,2.3317763482286927e-37,3.5102202411411936e-35,Atp1a2,,1.492965954838963e-27,2.3373874988958805e-25,Thbs1,,4.877559094415627e-55,7.636306518217106e-53,F11r,,3.4058081305591797e-45,5.332133209203452e-43,Dock2,,6.164365076339003e-36,9.650929963516344e-34,Apoe,,3.529405272776144e-21,5.525636895058331e-19,Gmfg,,1.1348487754766115e-33,1.7645469025301321e-31,Icam1,,8.656290686988616e-16,1.3552288699549378e-13
Podxl,,0.0,0.0,Mt2,,0.0,0.0,Col6a3,,1.2091969297697195e-167,1.8203064550456469e-165,Col1a1,,8.821206447536457e-181,1.327930847525296e-178,Tcea3,,2.7874663914018525e-284,4.1962090215180195e-282,Cox5a,,2.120271747953062e-54,1.0245362495664548e-52,Cotl1,,6.724263227864508e-157,1.0122602413023724e-154,Il7,,0.0026541988032491768,0.009912723393050837,Casq2,,1.0075379316267444e-76,1.5167321016873376e-74,Csrp1,,5.448337158273779e-66,8.20184293749368e-64,Des,,7.41787383805631e-37,1.0753169704500888e-34,Steap4,,2.3691913170403337e-27,3.566544159575333e-25,Angptl7,,8.170241455617481e-54,1.2299355791264162e-51,Bst2,,9.166672378535749e-43,1.3799367572918815e-40,Arhgap45,,2.245965650174518e-35,3.381042136455024e-33,Abi3bp,,9.74168833896759e-21,1.4664987753353518e-18,Retnlg,,1.1721568591155706e-33,1.7645469025301321e-31,Pltp,,2.445749578066484e-15,3.6817937879046993e-13
Myo10,,0.0,0.0,Col3a1,,2.1529240449027294e-294,3.1209424858330675e-292,Itm2a,,4.555444838348643e-165,6.603707813813551e-163,Mgp,,1.0732725196641612e-179,1.5558476451724174e-177,Pygm,,1.4138608417676782e-283,2.0495745683995156e-281,Neb,,1.8308176916489927e-53,8.530738625135902e-52,Cyth4,,4.006135849217679e-156,5.8074132273474055e-154,Dtx1,,0.0032588363571656328,0.011821209918393222,Gnb4,,5.89889708482074e-76,8.551215996291991e-74,Ndrg1,,6.124365372599751e-65,8.878061506798305e-63,Rapsn,,4.7539947313346273e-35,6.645405492301334e-33,Casq2,,4.799555047081734e-27,6.957577205288113e-25,Comp,,2.14148725406533e-53,3.104363374967297e-51,8430408G22Rik,,1.0564990406287886e-42,1.5315323129707698e-40,Vps37b,,2.30973941771125e-34,3.348266696637716e-32,Thbs4,,1.8939548788858158e-20,2.745533109614475e-18,Sell,,1.669036060315741e-33,2.4194841259540035e-31,Myct1,,2.768966457068468e-15,4.013975819617031e-13
